UserId,ItemId
0,2455 1020 1575 259 505 331 1868 465 2885 1195 865 2940 471 1430 2977 2464 1281 2022 485 2651 2299 1770 422 719 496 863 2470 231 2088 294 2661 1185 2652 938 2031 1063 637 457 2841 384 1455 84 2823 2339 2320 2726 988 167 2411 2527
1,2537 2464 2463 275 2940 719 1386 637 1185 1193 1023 1800 2845 2351 1474 2652 1681 1197 1443 2855 2350 3031 2750 490 1812 1715 384 454 2117 517 2971 770 2030 2661 697 3229 1348 609 706 2455 2527 2359 417 294 333 3040 1949 115 2966 3049
2,1200 1770 1567 2320 1443 2726 2652 1784 644 2464 100 346 814 1195 517 3209 706 2035 938 1290 296 48 1956 497 1973 609 1193 719 454 491 1034 2537 1868 2351 1307 2541 275 1474 2883 380 1357 1295 2696 2398 385 2478 2127 2841 1800 2472
3,2464 2320 2541 1193 2726 1770 1443 702 2652 1348 1197 2750 865 2855 2940 521 770 609 2312 100 2537 1818 1185 255 1575 1784 1465 1567 2350 697 2463 987 945 275 2179 1800 3229 491 1868 18 2299 2359 1737 719 1474 2108 2012 457 3078 1195
4,676 2115 505 1203 2193 2525 2845 3040 384 2117 981 1224 2537 2805 960 458 1196 370 741 489 2902 2837 1958 402 2178 3142 1770 372 164 335 998 3092 2431 471 2174 2821 2099 3220 2527 1099 629 443 856 1672 2283 2232 613 2795 288 1002
5,1430 1195 490 697 465 471 13 2855 2351 84 486 2661 1715 167 3158 3142 2651 2470 2977 2022 1770 2031 1386 259 1200 847 128 1194 3229 1197 1474 294 422 2464 2537 296 2652 2841 571 919 1857 760 770 2350 865 1720 1868 2783 2299 2845
6,2885 465 1386 2652 865 1575 2464 1195 1474 1185 517 2855 2537 1956 1443 275 719 3209 2750 2351 1868 2541 1681 2937 490 505 706 803 2312 938 2398 2299 988 987 48 2696 2883 2055 2976 471 702 3142 231 2940 2875 1348 3241 2111 644 1455
7,865 2117 1868 1474 2525 1132 1761 1681 443 147 2845 2474 1057 1784 2966 1715 1195 1567 1185 2232 2283 234 1977 988 231 1125 358 2006 3237 1722 2055 1795 698 2193 1106 426 1150 1353 1268 1421 869 1365 2455 2521 501 2466 1871 3147 2551 280
8,719 1195 505 1770 231 2455 1268 294 2805 2320 465 3031 2810 2350 783 2312 1386 2464 1197 2652 981 2855 2380 2022 3186 2902 1567 1614 358 655 2845 486 1722 2299 2351 3092 1941 2006 3189 964 2392 1715 1648 2527 170 3147 714 3241 1958 100
9,2455 1365 706 842 2902 384 170 719 1614 372 2971 1325 3142 1200 2661 2537 3220 2795 3040 2115 402 1115 655 2921 741 2006 714 847 2173 1197 1765 1185 490 294 1156 2283 960 2444 976 2007 2966 938 2845 939 3156 2885 277 1812 2350 2339
